Date,Close,High,Low,Open,Volume,Ticker
2023-07-24,148.57521057128906,149.3180803107643,145.50026390451757,145.72595293417018,14381400,JPM
2023-07-25,147.4656219482422,148.31193079594107,146.65692076881191,147.9169857104419,9944700,JPM
2023-07-26,148.34951782226562,148.81029419886468,146.95780471245106,147.36216242019992,8728600,JPM
2023-07-27,146.7133331298828,149.30869258655179,146.27136771662688,148.35894475625432,10778400,JPM
2023-07-28,147.55026245117188,148.19910598533352,147.10829698148484,147.89818721933534,9103800,JPM
2023-07-31,148.53759765625,149.87289208348741,147.77590258882222,147.80411192295733,8892700,JPM
2023-08-01,147.80413818359375,148.57523171653716,146.83557927662042,148.0392255755503,6853900,JPM
2023-08-02,146.13031005859375,146.4030194553348,144.75740779094255,146.28076942585813,8299400,JPM
2023-08-03,147.02362060546875,147.55961225180343,145.14292198230237,145.75414329539473,6084000,JPM
2023-08-04,146.7133331298828,148.38715409339025,146.41241440230658,147.07065618313624,6209400,JPM
2023-08-07,147.40919494628906,148.29312584697047,147.25874991847195,147.25874991847195,7251800,JPM
2023-08-08,146.58168029785156,146.67570663590206,143.48792249952785,145.11473741719715,8623400,JPM
2023-08-09,144.61636352539062,146.24317871899208,144.31545910455927,146.0551116623979,6277800,JPM
2023-08-10,144.40005493164062,146.16791643636807,143.95808955545877,145.1711483449259,5995100,JPM
2023-08-11,145.23695373535156,145.30278507694817,143.52552538554008,143.90165938480195,5180700,JPM
2023-08-14,145.53787231445312,145.67891897693212,143.79822028471983,144.44706362930785,5044300,JPM
2023-08-15,141.8329315185547,144.12738683232388,141.26871602059316,143.73244172318925,10300300,JPM
2023-08-16,141.23109436035156,141.95516749633964,140.7515069300112,141.61664110081486,6978200,JPM
2023-08-17,139.76412963867188,142.23723869259535,139.54783895539543,141.87991569368114,9953900,JPM
2023-08-18,140.0838623046875,140.5822463780734,138.64512875720078,138.84259411154915,8517500,JPM
2023-08-21,140.5634307861328,141.14645719810247,139.19052863393927,140.72328846968446,8327000,JPM
2023-08-22,137.64834594726562,140.71387974078053,137.14996192697072,140.35654238713786,9673300,JPM
2023-08-23,138.5792999267578,138.78617796270962,136.7832433034955,137.62015377672074,7858000,JPM
2023-08-24,138.44764709472656,140.49761638052095,138.2219724072368,138.7015454667466,6534000,JPM
2023-08-25,138.2783966064453,139.75473785763214,137.14998007810868,138.49467297346612,6695500,JPM
2023-08-28,138.7579345703125,139.74530416346113,138.35359127565994,138.76734724601485,5094100,JPM
2023-08-29,139.88636779785156,139.97101014649476,138.40061406417527,138.89901243341095,6337000,JPM
2023-08-30,139.32215881347656,140.25309545797032,138.41001882441265,139.75471146583337,6277300,JPM
2023-08-31,137.60133361816406,139.50084348167059,137.2534089211085,139.41620112815974,10933900,JPM
2023-09-01,138.06211853027344,139.24695371806996,137.00891734808206,137.3756530739663,7903500,JPM
2023-09-05,136.5387420654297,139.36920319243367,136.36007336787995,138.38183336553914,7854700,JPM
2023-09-06,136.3130645751953,136.85845463739395,135.51376179159,136.06856453152616,8629200,JPM
2023-09-07,135.14698791503906,136.604532041987,134.83667095779802,135.53253452996796,8373700,JPM
2023-09-08,135.2504425048828,135.52313749044623,134.1408228617059,134.8178755104192,7107900,JPM
2023-09-11,135.8428955078125,136.3976982708832,135.11882237294367,136.11559055028286,6854200,JPM
2023-09-12,137.61074829101562,138.5323011715463,135.45735415699824,135.88050858043627,8363200,JPM
2023-09-13,137.6765594482422,138.8896038639501,137.1217567444918,138.55107750514435,8325900,JPM
2023-09-14,140.34715270996094,140.95837410125364,138.72035221039306,139.02125656733,10034900,JPM
2023-09-15,139.9333953857422,140.79851513334847,139.46322067409136,140.0368343962491,19863400,JPM
2023-09-18,140.22488403320312,140.2436950369441,138.93661007448483,139.32215673392037,6512400,JPM
2023-09-19,140.04623413085938,140.78911821793756,138.42884630725024,140.58224019484695,7943400,JPM
2023-09-20,139.45382690429688,141.28750546996196,139.30336754798745,140.72329005809854,7332000,JPM
2023-09-21,138.36305236816406,139.97105664628128,137.88347919329982,138.7768085262105,8052400,JPM
2023-09-22,137.03709411621094,138.71091465691347,136.52931182743455,138.50403667111058,7071700,JPM
2023-09-25,137.71417236328125,137.78000371128437,135.12821140806957,136.67979659035282,7044700,JPM
2023-09-26,136.2848358154297,137.1405572392171,135.6265940850523,135.97453313071816,7468400,JPM
2023-09-27,137.08413696289062,137.37564298659942,135.88988918481877,136.52933425011622,6717800,JPM
2023-09-28,138.78616333007812,139.98980940402407,137.3004095687964,137.55430792225792,8868100,JPM
2023-09-29,136.36947631835938,139.88637395090447,136.2190169681453,139.7359289492838,11917800,JPM
2023-10-02,135.1940155029297,136.93365300386665,134.1220179333575,136.19078341077514,9170600,JPM
2023-10-03,134.197265625,135.02476331799002,133.85873927604274,134.65802763566907,9431100,JPM
2023-10-04,134.7991180419922,134.9119554000495,133.4638090115332,134.64865866551852,8128700,JPM
2023-10-05,135.367431640625,135.55690077931655,133.40655325446727,134.55276348943536,8576200,JPM
2023-10-06,137.45150756835938,138.1903911218125,134.64752846347048,135.37694433963748,10270600,JPM
2023-10-09,137.138916015625,137.73569774934012,135.93585596091424,136.08742554116313,6964900,JPM
2023-10-10,137.9724884033203,139.03346076917467,137.62199647640875,137.7546162153321,11288800,JPM
2023-10-11,138.44615173339844,139.46922462849858,137.3757259962922,138.78717603176514,8698200,JPM
